n,nb_hat,r1_radius,r1_nb_lo,r1_nb_hi,r2_nb_lo,r2_nb_hi,succ_diff_hat,r1_sd_lo,r1_sd_hi,r2_sd_lo,r2_sd_hi,r2_wr_lo,r2_wr_hi
192,-0.5260416666666666,0.2365300267432093,-0.762571693409876,-0.2895116399234573,-0.7072463921116043,-0.3011384752268592,-0.026041666666666668,-0.26257169340987596,0.21048836007654265,-0.18995884239363175,0.13869366329163313,0.1460602808540592,0.514991671334827
193,-0.5181347150259067,0.23576409589174532,-0.753898810917652,-0.2823706191341614,-0.7003812540534866,-0.292928704480433,-0.02072538860103627,-0.2564894844927816,0.21503870729070906,-0.18484891534160458,0.1440611721011641,0.1509270282172122,0.5252221932247417
194,-0.520618556701031,0.2350053645267052,-0.7556239212277361,-0.2856131921743258,-0.702018715441227,-0.29626291007110744,-0.02577319587628866,-0.26077856040299385,0.20923216865041655,-0.18984643692515554,0.1391370735063995,0.14992640536692306,0.5212203219664142
195,-0.517948717948718,0.23425372526699034,-0.7522024432157084,-0.28369499268172765,-0.6988191948487208,-0.2946906915077797,-0.02564102564102564,-0.259894750908016,0.2086126996259647,-0.18890786400208096,0.1384432254693447,0.14992640536692306,0.5212203219664142
196,-0.5204081632653061,0.23350907289527736,-0.7539172361605835,-0.2868990903700288,-0.7004485071009519,-0.2979838404120232,-0.025510204081632654,-0.25901927697691,0.2079988688136447,-0.18797855421292536,0.13775627489904974,0.14893899579231856,0.517278578329306
197,-0.5126903553299492,0.2327713043034183,-0.7454616596333675,-0.2799190510265309,-0.6937322059863713,-0.2899795926464391,-0.02030456852791878,-0.2530758728313371,0.21246673577549952,-0.18297344937844928,0.14301050783413927,0.1537471999874506,0.5273342116548185
198,-0.5050505050505051,0.2320403184394908,-0.7370908234899959,-0.2730101866110143,-0.6870616713557582,-0.282084723012616,-0.015151515151515152,-0.24719183359100594,0.21688880328797566,-0.17800804543675797,0.14819493731766037,0.15855994279797309,0.5373749535450468
199,-0.507537688442211,0.23131601625644005,-0.7388537046986511,-0.276221672185771,-0.6887302248921225,-0.2853846253462173,-0.020100502512562814,-0.25141651876900284,0.21121551374387723,-0.18291384475914074,0.14337172093403402,0.15752383996521865,0.5333365046554851
200,-0.5,0.230598300662257,-0.730598300662257,-0.269401699337743,-0.6821324676275253,-0.2776139825582504,-0.015,-0.24559830066225702,0.215598300662257,-0.17799282699823374,0.14849160492420194,0.16231049976006146,0.5432853891531294
201,-0.5024875621890548,0.2298870764716396,-0.7323746386606944,-0.27260048571741513,-0.6838107186170359,-0.28090148600772846,-0.014925373134328358,-0.24481244960596796,0.21496170333731127,-0.17713729436717818,0.14777428890342142,0.1612574525817033,0.5392303359555753
