scenario,replicates,true_net_benefit,true_success_difference,true_safety_difference,boundary_gate,admissible,method,convention,deployments,deployment_rate,rate_ci_lower,rate_ci_upper,mean_runs_per_arm_used
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,guarded_allpairs_asympcs_projection_gaussian_retained,retained (each gate keeps its first crossing),309,0.0309,0.027684349146600024,0.03447591812476875,9753.695
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,win_only_disjoint_gs_obf,single gate (convention-free),501,0.0501,0.04599440546592007,0.05455111626801472,9889.6
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,guarded_disjoint_gs_obf_simultaneous,simultaneous (same-look conjunction; paper convention),501,0.0501,0.04599440546592007,0.05455111626801472,9889.6
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,guarded_disjoint_gs_obf_retained,retained (each gate keeps its first crossing),501,0.0501,0.04599440546592007,0.05455111626801472,9889.6
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,win_only_disjoint_betting,single gate (convention-free),80,0.008,0.006433050051197009,0.00994480434554876,9940.66
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,guarded_disjoint_betting_simultaneous,simultaneous (same-look conjunction; paper convention),60,0.006,0.0046645228934497195,0.007714867496778757,9960.135
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,guarded_disjoint_betting_retained,retained (each gate keeps its first crossing),80,0.008,0.006433050051197009,0.00994480434554876,9942.905
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_nb_allpairs_fixed_wald,"single gate, ever rejected by n = 10000",523,0.0523,0.04810587403933279,0.05683795810177102,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_success_allpairs_fixed_wald,"single gate, ever rejected by n = 10000",9983,0.9983,0.9972790145849042,0.9989382926388795,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_compliance_allpairs_fixed_wald,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_nb_allpairs_gs_obf,"single gate, ever rejected by n = 10000",505,0.0505,0.0463781434893128,0.05496707104592546,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_success_allpairs_gs_obf,"single gate, ever rejected by n = 10000",9978,0.9978,0.9966710407999471,0.9985466504222074,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_compliance_allpairs_gs_obf,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_nb_allpairs_gs_pocock,"single gate, ever rejected by n = 10000",545,0.0545,0.05021948667736563,0.059122655870907204,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_success_allpairs_gs_pocock,"single gate, ever rejected by n = 10000",9953,0.9953,0.9937561129811471,0.9964634982328605,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_compliance_allpairs_gs_pocock,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_nb_allpairs_gs_hsd,"single gate, ever rejected by n = 10000",494,0.0494,0.04532304560552551,0.05382301372612823,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_success_allpairs_gs_hsd,"single gate, ever rejected by n = 10000",9979,0.9979,0.9967916061274641,0.9986260082950161,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_compliance_allpairs_gs_hsd,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_nb_allpairs_asympcs_projection_gaussian,"single gate, ever rejected by n = 10000",309,0.0309,0.027684349146600024,0.03447591812476875,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_success_allpairs_asympcs_projection_gaussian,"single gate, ever rejected by n = 10000",9683,0.9683,0.9646822658017162,0.9715580813243081,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_compliance_allpairs_asympcs_projection_gaussian,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_nb_disjoint_gs_obf,"single gate, ever rejected by n = 10000",501,0.0501,0.04599440546592007,0.05455111626801472,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_success_disjoint_gs_obf,"single gate, ever rejected by n = 10000",9978,0.9978,0.9966710407999471,0.9985466504222074,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_compliance_disjoint_gs_obf,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_nb_disjoint_betting,"single gate, ever rejected by n = 10000",80,0.008,0.006433050051197009,0.00994480434554876,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_success_disjoint_betting,"single gate, ever rejected by n = 10000",9423,0.9423,0.9375577281313293,0.9467025869099702,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,gate_compliance_disjoint_betting,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,win_only_allpairs_fixed_wald,single gate (convention-free),10000,1.0,0.9996160016293234,1.0,10000.0
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,guarded_allpairs_fixed_wald,single look (conventions coincide),483,0.0483,0.04426852864460951,0.05267837548345972,10000.0
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,win_only_allpairs_gs_obf,single gate (convention-free),10000,1.0,0.9996160016293234,1.0,1000.0
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,guarded_allpairs_gs_obf_simultaneous,simultaneous (same-look conjunction; paper convention),508,0.0508,0.04666599590665272,0.05527898822956311,9896.1
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,guarded_allpairs_gs_obf_retained,retained (each gate keeps its first crossing),508,0.0508,0.04666599590665272,0.05527898822956311,9896.1
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,win_only_allpairs_gs_pocock,single gate (convention-free),10000,1.0,0.9996160016293234,1.0,1000.0
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,guarded_allpairs_gs_pocock_simultaneous,simultaneous (same-look conjunction; paper convention),477,0.0477,0.0436935891355785,0.052053775790535536,9751.6
