n,nb_hat,nb_lo,nb_hi,succ_hat,succ_lo,succ_hi
1025,0.11902439024390243,0.03415893554687503,0.20248657226562497,0.021463414634146343,-0.03205627441406253,0.07506774902343756
1050,0.12095238095238095,0.037163085937500034,0.20335083007812496,0.024761904761904763,-0.02836547851562503,0.07797912597656256
1075,0.1172093023255814,0.03452026367187502,0.19858581542968745,0.021395348837209303,-0.030952758789062527,0.07382263183593755
1100,0.11272727272727273,0.031143798828125027,0.19308105468749992,0.02,-0.031588745117187525,0.07166381835937505
1125,0.11555555555555555,0.03488403320312504,0.19499450683593744,0.024888888888888887,-0.026339721679687518,0.07620422363281258
1150,0.11565217391304349,0.03599426269531253,0.1941070556640625,0.02434782608695652,-0.026556396484375022,0.07533020019531254
1175,0.11148936170212766,0.032823486328125026,0.18902404785156246,0.02127659574468085,-0.029243774414062527,0.07186096191406256
1200,0.11166666666666666,0.033847656250000024,0.18837707519531244,0.0225,-0.027546997070312523,0.07261230468750007
1225,0.10938775510204081,0.03250793457031252,0.1852069091796874,0.02122448979591837,-0.028586425781250025,0.07109130859375007
1250,0.1144,0.038348388671875025,0.18936523437499997,0.0248,-0.02447570800781252,0.07414001464843756
1275,0.11215686274509803,0.03672302246093753,0.18654357910156244,0.025098039215686273,-0.023807373046875017,0.07406494140625006
1300,0.11307692307692307,0.03843933105468754,0.18668090820312497,0.024615384615384615,-0.02399536132812502,0.07328186035156257
1325,0.11245283018867924,0.03849304199218753,0.1854028320312499,0.02490566037735849,-0.02322326660156252,0.07309020996093755
1350,0.10888888888888888,0.03580627441406253,0.18101684570312493,0.022962962962962963,-0.024648437500000023,0.07062622070312508
1375,0.10909090909090909,0.036689453125000035,0.18055358886718742,0.022545454545454546,-0.024675292968750023,0.06981567382812506
1400,0.10714285714285714,0.03542602539062503,0.17795471191406242,0.023571428571428573,-0.023145751953125022,0.07034118652343756
1425,0.1080701754385965,0.03689147949218753,0.17834960937499994,0.02456140350877193,-0.021779785156250023,0.07095520019531255
1450,0.11103448275862068,0.040290527343750035,0.1808660888671874,0.02482758620689655,-0.02109497070312502,0.07080322265625008
1475,0.10915254237288136,0.03904724121093753,0.17837707519531243,0.023728813559322035,-0.021899414062500018,0.06940490722656256
1500,0.11266666666666666,0.043220825195312534,0.18121948242187494,0.02666666666666667,-0.018445434570312516,0.07183410644531256
1525,0.11081967213114755,0.04211120605468753,0.1786688232421874,0.026885245901639345,-0.017738647460937514,0.07156677246093755
1550,0.10709677419354839,0.03879821777343753,0.17457519531249993,0.025161290322580646,-0.019246826171875016,0.06961975097656257
1575,0.10984126984126984,0.04211730957031254,0.17673767089843745,0.02603174603174603,-0.018245239257812518,0.07035583496093754
1600,0.108125,0.041023559570312534,0.17442626953124996,0.024375,-0.019404907226562518,0.06820129394531256
1625,0.10707692307692308,0.040616455078125044,0.17276000976562492,0.024615384615384615,-0.018719482421875017,0.06799804687500005
1650,0.10606060606060606,0.040164794921875024,0.17119934082031246,0.02484848484848485,-0.018143310546875013,0.06788879394531254
1675,0.1044776119402985,0.03904174804687503,0.16917846679687495,0.026865671641791045,-0.015827026367187517,0.06960876464843757
1700,0.10588235294117647,0.04100097656250004,0.1700311279296874,0.02588235294117647,-0.01631530761718751,0.06813171386718757
1725,0.10898550724637682,0.04457458496093754,0.1726531982421874,0.02782608695652174,-0.014088745117187513,0.06979492187500007
1750,0.11085714285714286,0.046898803710937534,0.17406921386718743,0.027428571428571427,-0.014219360351562512,0.06912902832031255
1775,0.10704225352112676,0.04348876953125004,0.16988525390624992,0.027042253521126762,-0.014100952148437512,0.06824035644531255
1800,0.11,0.04688903808593754,0.17239013671874992,0.027777777777777776,-0.012949218750000012,0.06856262207031256
1825,0.10794520547945205,0.045158081054687535,0.1700329589843749,0.0273972602739726,-0.013085937500000012,0.06793640136718755
1850,0.10486486486486486,0.04253967285156254,0.16652038574218742,0.02810810810810811,-0.012053833007812511,0.06832763671875006
1875,0.10666666666666667,0.04480102539062504,0.16786132812499993,0.029866666666666666,-0.009899902343750008,0.06969604492187506
1900,0.10421052631578948,0.04281433105468754,0.16496032714843745,0.028421052631578948,-0.01090270996093751,0.06780761718750006
1925,0.10441558441558442,0.04342529296875004,0.1647674560546874,0.028051948051948054,-0.01112670898437501,0.06728942871093756
1950,0.09948717948717949,0.03881713867187503,0.15955505371093742,0.02666666666666667,-0.012442626953125011,0.06582824707031255
1975,0.10126582278481013,0.04097351074218754,0.1609527587890624,0.030379746835443037,-0.008632812500000007,0.06944763183593756
2000,0.097,0.03704406738281253,0.156383056640625,0.029,-0.009871215820312508,0.06792175292968756
