n,net_benefit,success_difference,radius,nb_lo,nb_hi,success_lo,success_hi
146,-0.5958904109589042,-0.06164383561643835,0.282017166573607,-0.8779075775325111,-0.3138732443852972,-0.34366100219004536,0.22037333095716863
147,-0.5986394557823129,-0.061224489795918366,0.28075000752310314,-0.879389463305416,-0.3178894482592098,-0.3419744973190215,0.21952551772718476
148,-0.5878378378378378,-0.05405405405405406,0.2794988055355061,-0.8673366433733439,-0.30833903230233173,-0.33355285958956016,0.22544475148145204
149,-0.5906040268456376,-0.06040268456375839,0.2782632460203599,-0.8688672728659975,-0.3123407808252777,-0.3386659305841183,0.21786056145660151
150,-0.58,-0.05333333333333334,0.2770430227115183,-0.8570430227115182,-0.30295697728848164,-0.33037635604485166,0.22370968937818497
151,-0.5827814569536424,-0.059602649006622516,0.27583783739238615,-0.8586192943460285,-0.3069436195612562,-0.3354404863990087,0.21623518838576364
152,-0.5855263157894737,-0.05921052631578947,0.27464739963199064,-0.8601737154214644,-0.31087891615748303,-0.33385792594778013,0.21543687331620118
153,-0.5882352941176471,-0.058823529411764705,0.2734714265313883,-0.8617067206490354,-0.3147638675862588,-0.332294955943153,0.21464789711962357
154,-0.5909090909090909,-0.06493506493506493,0.2723096424799369,-0.8632187333890278,-0.31859944842915405,-0.3372447074150018,0.20737457754487196
155,-0.5935483870967742,-0.07096774193548387,0.2711617789209885,-0.8647101660177627,-0.3223866081757856,-0.3421295208564724,0.20019403698550464
156,-0.5961538461538461,-0.07051282051282051,0.27002757412658046,-0.8661814202804266,-0.3261262720272657,-0.340540394639401,0.19951475361375995
157,-0.5987261146496815,-0.07006369426751592,0.2689067729807232,-0.8676328876304047,-0.3298193416689583,-0.3389704672482391,0.19884307871320728
158,-0.6012658227848101,-0.0759493670886076,0.26779912677090506,-0.8690649495557152,-0.33346669601390505,-0.34374849385951267,0.19184975968229745
159,-0.6037735849056604,-0.07547169811320754,0.26670439298745174,-0.8704779778931121,-0.3370691919182086,-0.3421760911006593,0.1912326948742442
160,-0.60625,-0.075,0.2656223351303978,-0.8718723351303977,-0.34062766486960216,-0.3406223351303978,0.19062233513039778
161,-0.5962732919254659,-0.06832298136645963,0.2645527225235431,-0.860826014449009,-0.33172056940192274,-0.33287570389000276,0.19622974115708347
162,-0.5987654320987654,-0.06790123456790123,0.26349533013538534,-0.8622607622341507,-0.3352701019633801,-0.3313965647032866,0.1955940955674841
163,-0.6012269938650306,-0.06748466257668712,0.26244993840663106,-0.8636769322716618,-0.3387770554583996,-0.32993460098331817,0.19496527582994394
164,-0.5914634146341463,-0.06097560975609756,0.26141633308400775,-0.852879747718154,-0.33004708155013857,-0.3223919428401053,0.2004407233279102
165,-0.593939393939394,-0.06666666666666667,0.26039430506010736,-0.8543336989995014,-0.33354508887928663,-0.327060971726774,0.1937276383934407
166,-0.5843373493975904,-0.060240963855421686,0.25938365021900883,-0.8437209996165993,-0.3249536991785816,-0.31962461407443055,0.19914268636358715
167,-0.5868263473053892,-0.059880239520958084,0.258384169287436,-0.8452105165928252,-0.32844217801795317,-0.31826440880839413,0.19850392976647793
168,-0.5773809523809523,-0.05357142857142857,0.2573956676912227,-0.834776620072175,-0.31998528468972964,-0.31096709626265123,0.2038242391197941
169,-0.5680473372781065,-0.047337278106508875,0.25641795541686246,-0.8244652926949689,-0.31162938186124406,-0.30375523352337136,0.2090806773103536
170,-0.5705882352941176,-0.047058823529411764,0.25545084687793673,-0.8260390821720544,-0.3151373884161809,-0.3025096704073485,0.20839202334852497
171,-0.5614035087719298,-0.04093567251461988,0.25449416078621984,-0.8158976695581497,-0.30690934798570996,-0.2954298333008397,0.21355848827159996
172,-0.563953488372093,-0.046511627906976744,0.25354772002727144,-0.8175012083993645,-0.3104057683448216,-0.30005934793424816,0.2070360921202947
173,-0.5664739884393064,-0.046242774566473986,0.25261135154033515,-0.8190853399796416,-0.31386263689897126,-0.2988541261068091,0.20636857697386116
174,-0.5574712643678161,-0.040229885057471264,0.25168488620236984,-0.809156150570186,-0.3057863781654463,-0.2919147712598411,0.21145500114489857
175,-0.5485714285714286,-0.03428571428571429,0.2507681587160491,-0.7993395872874778,-0.29780326985537947,-0.28505387300176344,0.21648244443033485
176,-0.5511363636363636,-0.03977272727272727,0.2498610075015705,-0.8009973711379341,-0.30127535613479317,-0.28963373477429777,0.21008828022884324
