scenario,method,gate,threshold,true_value,gate_true,rejections,rejection_rate,rate_ci_lower,rate_ci_upper
joint_gain,allpairs_fixed_wald,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,allpairs_gs_obf,nb,0.0,0.30597669413889983,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,allpairs_gs_obf,success,-0.03,0.08999999999999997,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,allpairs_gs_obf,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,allpairs_gs_pocock,nb,0.0,0.30597669413889983,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,allpairs_gs_pocock,success,-0.03,0.08999999999999997,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,allpairs_gs_pocock,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,allpairs_gs_hsd,nb,0.0,0.30597669413889983,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,allpairs_gs_hsd,success,-0.03,0.08999999999999997,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,allpairs_gs_hsd,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,allpairs_asympcs,nb,0.0,0.30597669413889983,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,allpairs_asympcs,success,-0.03,0.08999999999999997,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,allpairs_asympcs,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,disjoint_gs_obf,nb,0.0,0.30597669413889983,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,disjoint_gs_obf,success,-0.03,0.08999999999999997,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,disjoint_gs_obf,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,disjoint_betting,nb,0.0,0.30597669413889983,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,disjoint_betting,success,-0.03,0.08999999999999997,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,disjoint_betting,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
weak_gain,allpairs_fixed_wald,nb,0.0,0.009900499999999979,True,656,0.328,0.3077711179567126,0.3488883463080384
weak_gain,allpairs_fixed_wald,success,-0.03,0.010000000000000009,True,2000,1.0,0.9980829527187469,0.9999999999999998
weak_gain,allpairs_fixed_wald,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
weak_gain,allpairs_gs_obf,nb,0.0,0.009900499999999979,True,634,0.317,0.29697473321910545,0.33772690608583306
weak_gain,allpairs_gs_obf,success,-0.03,0.010000000000000009,True,2000,1.0,0.9980829527187469,0.9999999999999998
weak_gain,allpairs_gs_obf,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
weak_gain,allpairs_gs_pocock,nb,0.0,0.009900499999999979,True,526,0.263,0.2441724933907117,0.28273618702060216
weak_gain,allpairs_gs_pocock,success,-0.03,0.010000000000000009,True,2000,1.0,0.9980829527187469,0.9999999999999998
weak_gain,allpairs_gs_pocock,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
weak_gain,allpairs_gs_hsd,nb,0.0,0.009900499999999979,True,622,0.311,0.2910913019429493,0.3316333419293642
weak_gain,allpairs_gs_hsd,success,-0.03,0.010000000000000009,True,2000,1.0,0.9980829527187469,0.9999999999999998
weak_gain,allpairs_gs_hsd,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
