scenario,method,replicates,max_runs_per_arm,true_net_benefit,true_success_difference,true_safety_difference,admissible,deployments,deployment_rate,rate_ci_lower,rate_ci_upper,mean_runs_per_arm_used,mean_runs_mcse,median_runs_among_deployments
success_regression,guarded_allpairs_fixed_wald,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,win_only_allpairs_gs_obf,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
success_regression,guarded_allpairs_gs_obf,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,guarded_allpairs_gs_obf_simultaneous,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,win_only_allpairs_gs_pocock,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
success_regression,guarded_allpairs_gs_pocock,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,guarded_allpairs_gs_pocock_simultaneous,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,win_only_allpairs_gs_hsd,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
success_regression,guarded_allpairs_gs_hsd,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,guarded_allpairs_gs_hsd_simultaneous,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,win_only_allpairs_asympcs,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,2000,1.0,0.9980829527187469,0.9999999999999998,121.3,0.744583776347565,100.0
success_regression,guarded_allpairs_asympcs,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,guarded_allpairs_asympcs_simultaneous,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,win_only_disjoint_gs_obf,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
success_regression,guarded_disjoint_gs_obf,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,win_only_disjoint_betting,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,2000,1.0,0.9980829527187469,0.9999999999999998,138.625,1.1066524691609376,100.0
success_regression,guarded_disjoint_betting,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,guarded_disjoint_betting_simultaneous,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,win_only_disjoint_betting_simultaneous,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,2000,1.0,0.9980829527187469,0.9999999999999998,138.625,1.1066524691609376,100.0
safety_regression,win_only_allpairs_fixed_wald,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,2000,1.0,0.9980829527187469,0.9999999999999998,10000.0,0.0,10000.0
safety_regression,guarded_allpairs_fixed_wald,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,win_only_allpairs_gs_obf,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
safety_regression,guarded_allpairs_gs_obf,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,guarded_allpairs_gs_obf_simultaneous,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,win_only_allpairs_gs_pocock,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
safety_regression,guarded_allpairs_gs_pocock,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,guarded_allpairs_gs_pocock_simultaneous,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,win_only_allpairs_gs_hsd,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
safety_regression,guarded_allpairs_gs_hsd,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,guarded_allpairs_gs_hsd_simultaneous,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,win_only_allpairs_asympcs,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,2000,1.0,0.9980829527187469,0.9999999999999998,102.05,0.22726361345362855,100.0
safety_regression,guarded_allpairs_asympcs,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,9,0.0045,0.0023692806369618345,0.008530513218759823,9966.975,11.466213397957379,1400.0
safety_regression,guarded_allpairs_asympcs_simultaneous,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,win_only_disjoint_gs_obf,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
safety_regression,guarded_disjoint_gs_obf,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,win_only_disjoint_betting,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,2000,1.0,0.9980829527187469,0.9999999999999998,107.15,0.45627705399241736,100.0
safety_regression,guarded_disjoint_betting,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,guarded_disjoint_betting_simultaneous,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,win_only_disjoint_betting_simultaneous,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,2000,1.0,0.9980829527187469,0.9999999999999998,107.15,0.45627705399241736,100.0
joint_gain,win_only_allpairs_fixed_wald,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,10000.0,0.0,10000.0
joint_gain,guarded_allpairs_fixed_wald,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,10000.0,0.0,10000.0
joint_gain,win_only_allpairs_gs_obf,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
joint_gain,guarded_allpairs_gs_obf,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,2397.5,12.113912456345389,2000.0
joint_gain,guarded_allpairs_gs_obf_simultaneous,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,2397.5,12.113912456345389,2000.0
joint_gain,win_only_allpairs_gs_pocock,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
joint_gain,guarded_allpairs_gs_pocock,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1233.0,10.33709340191913,1000.0
joint_gain,guarded_allpairs_gs_pocock_simultaneous,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1233.0,10.33709340191913,1000.0
joint_gain,win_only_allpairs_gs_hsd,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
