scenario,method,replicates,max_pairs,true_net_benefit,true_success_difference,true_safety_difference,admissible,deployments,deployment_rate,rate_ci_lower,rate_ci_upper,mean_pairs_used,mean_pairs_mcse,median_pairs_among_deployments
joint_gain,guarded_repeated_wald,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,276.85,5.8041613304593795,150.0
joint_gain,guarded_group_bonferroni_wald,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1305.5,11.793425075015316,1000.0
joint_gain,guarded_fixed_wald,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,10000.0,0.0,10000.0
weak_gain,win_only_betting,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,83,0.0415,0.033602383185357104,0.05115554917155182,9771.1,28.042220757279477,4250.0
weak_gain,win_only_multinomial,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,3,0.0015,0.0005102635836384819,0.004401032555770693,9987.575,7.436627911055873,100.0
weak_gain,guarded_betting,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,70,0.035,0.027795569156293554,0.04398728481527167,9837.75,21.75721073000857,5075.0
weak_gain,guarded_multinomial,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,1,0.0005,8.826773070546787e-05,0.0028268625032662133,9997.475,2.5243686710726005,4950.0
weak_gain,guarded_normal_mixture,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
weak_gain,guarded_repeated_wald,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,1093,0.5465,0.524613503534277,0.5682082110685663,6095.6,92.41354240586169,1600.0
weak_gain,guarded_group_bonferroni_wald,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,218,0.109,0.09608415062582279,0.12341498034811699,9519.5,36.98391373286499,5000.0
weak_gain,guarded_fixed_wald,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,515,0.2575,0.23881433369341082,0.27711543423799684,10000.0,0.0,10000.0
tie_heavy_null,win_only_betting,2000,10000,-4.946168474795342e-18,0.0,0.0,False,21,0.0105,0.006877887380873443,0.015998901907473176,9925.175,17.484313961019666,2000.0
tie_heavy_null,win_only_multinomial,2000,10000,-4.946168474795342e-18,0.0,0.0,False,1,0.0005,8.826773070546787e-05,0.0028268625032662133,9995.25,4.748812351525379,500.0
tie_heavy_null,guarded_betting,2000,10000,-4.946168474795342e-18,0.0,0.0,False,15,0.0075,0.004550377435809225,0.012337914136224913,9954.15,12.954492994710437,2350.0
tie_heavy_null,guarded_multinomial,2000,10000,-4.946168474795342e-18,0.0,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
tie_heavy_null,guarded_normal_mixture,2000,10000,-4.946168474795342e-18,0.0,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
tie_heavy_null,guarded_repeated_wald,2000,10000,-4.946168474795342e-18,0.0,0.0,False,620,0.31,0.29011111370616144,0.3306173642607146,7547.175,87.18362308763899,1025.0
tie_heavy_null,guarded_group_bonferroni_wald,2000,10000,-4.946168474795342e-18,0.0,0.0,False,40,0.02,0.014721726201265444,0.027118639188737373,9888.0,19.40948221875071,4000.0
tie_heavy_null,guarded_fixed_wald,2000,10000,-4.946168474795342e-18,0.0,0.0,False,91,0.0455,0.03720527135020145,0.05553732462845745,10000.0,0.0,10000.0
tie_heavy_efficiency,win_only_betting,2000,10000,0.057998043733088485,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1562.25,20.692419354681558,1400.0
tie_heavy_efficiency,win_only_multinomial,2000,10000,0.057998043733088485,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,3001.325,32.8432983603581,2850.0
tie_heavy_efficiency,guarded_betting,2000,10000,0.057998043733088485,0.0,0.0,True,1875,0.9375,0.9260297152353917,0.9472928683935119,4790.7,56.032361229917846,4100.0
tie_heavy_efficiency,guarded_multinomial,2000,10000,0.057998043733088485,0.0,0.0,True,1026,0.513,0.4910904157100915,0.534859741060596,8377.55,47.1264840482505,6950.0
tie_heavy_efficiency,guarded_normal_mixture,2000,10000,0.057998043733088485,0.0,0.0,True,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
tie_heavy_efficiency,guarded_repeated_wald,2000,10000,0.057998043733088485,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1242.95,26.814527755491053,850.0
tie_heavy_efficiency,guarded_group_bonferroni_wald,2000,10000,0.057998043733088485,0.0,0.0,True,1980,0.99,0.9846040615409247,0.9935172321234472,3872.0,48.22144751041802,3000.0
tie_heavy_efficiency,guarded_fixed_wald,2000,10000,0.057998043733088485,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,10000.0,0.0,10000.0
