family,domain,model_a,model_b,configuration,cost_relative_tolerance,resource_order,pairing,tasks,bootstrap_replicates,p_win,p_loss,p_tie,net_benefit,nb_ci_low,nb_ci_high,success_diff,success_ci_low,success_ci_high,win_ratio,success_decisive,cost_decisive,steps_decisive,illustrative_NI_margin,pointwise_NI_lower_above_margin,success_win,success_loss,success_net,cost_win,cost_loss,cost_net,steps_win,steps_loss,steps_net
tau2,airline,o4-mini,Claude-3.7,paired_seed,0.05,cost_steps,diagonal,50,10000,0.59,0.12,0.29,0.47,0.32,0.615,0.09,-0.03,0.215,4.916666666666667,0.33,0.38,0.0,0.03,False,0.21,0.12,0.09,0.38,0.0,0.38,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,all_pairs,0.05,cost_steps,all,50,10000,0.58875,0.12875,0.2825,0.46,0.31375,0.6025,0.09,-0.03,0.215,4.572815533980583,0.345,0.37125,0.00125,0.03,False,0.2175,0.1275,0.09,0.37125,0.0,0.37125,0.0,0.00125,-0.00125
tau2,retail,o4-mini,GPT-4.1,primary,0.05,cost_steps,off_diagonal,114,10000,0.45614035087719296,0.39839181286549713,0.14546783625730994,0.05774853801169589,-0.054093567251461985,0.16885964912280707,-0.02631578947368421,-0.0965460526315789,0.046052631578947366,1.1449541284403668,0.3187134502923977,0.49342105263157876,0.04239766081871345,0.03,False,0.14619883040935674,0.17251461988304098,-0.02631578947368421,0.2807017543859649,0.21271929824561395,0.06798245614035087,0.029239766081871354,0.013157894736842105,0.016081871345029232
tau2,retail,o4-mini,GPT-4.1,cost_tol_0,0.0,cost_steps,off_diagonal,114,10000,0.4744152046783625,0.4130116959064328,0.11257309941520469,0.06140350877192982,-0.05116959064327481,0.1725328947368419,-0.02631578947368421,-0.0965460526315789,0.046052631578947366,1.1486725663716812,0.3187134502923977,0.5687134502923976,0.0,0.03,False,0.14619883040935674,0.17251461988304098,-0.02631578947368421,0.3282163742690059,0.2404970760233918,0.08771929824561404,0.0,0.0,0.0
tau2,retail,o4-mini,GPT-4.1,cost_tol_10,0.1,cost_steps,off_diagonal,114,10000,0.4429824561403508,0.37280701754385964,0.18421052631578955,0.0701754385964912,-0.04093567251461987,0.17982456140350872,-0.02631578947368421,-0.0965460526315789,0.046052631578947366,1.1882352941176468,0.3187134502923977,0.4188596491228068,0.07821637426900586,0.03,False,0.14619883040935674,0.17251461988304098,-0.02631578947368421,0.23903508771929835,0.17982456140350875,0.05921052631578952,0.057748538011695896,0.02046783625730994,0.037280701754385956
tau2,retail,o4-mini,GPT-4.1,cost_tol_20,0.2,cost_steps,off_diagonal,114,10000,0.4181286549707601,0.32383040935672514,0.25804093567251457,0.0942982456140351,-0.011695906432748532,0.20029239766081866,-0.02631578947368421,-0.0965460526315789,0.046052631578947366,1.2911963882618507,0.3187134502923977,0.2646198830409357,0.15862573099415206,0.03,False,0.14619883040935674,0.17251461988304098,-0.02631578947368421,0.15350877192982462,0.11111111111111112,0.04239766081871341,0.11842105263157894,0.0402046783625731,0.07821637426900584
tau2,retail,o4-mini,GPT-4.1,steps_before_cost,0.05,steps_cost,off_diagonal,114,10000,0.48538011695906425,0.36915204678362573,0.14546783625730994,0.11622807017543853,0.007309941520467827,0.2251461988304092,-0.02631578947368421,-0.0965460526315789,0.046052631578947366,1.3148514851485147,0.3187134502923977,0.21929824561403508,0.3165204678362572,0.03,False,0.14619883040935674,0.17251461988304098,-0.02631578947368421,0.10380116959064328,0.11549707602339183,-0.011695906432748539,0.2353801169590644,0.08114035087719297,0.15423976608187134
tau2,retail,o4-mini,GPT-4.1,paired_seed,0.05,cost_steps,diagonal,114,10000,0.47149122807017546,0.37719298245614036,0.1513157894736842,0.09429824561403509,-0.019736842105263157,0.20833333333333334,-0.02631578947368421,-0.0965460526315789,0.046052631578947366,1.25,0.3201754385964912,0.4649122807017544,0.06359649122807018,0.03,False,0.14692982456140352,0.17324561403508773,-0.02631578947368421,0.2719298245614035,0.19298245614035087,0.07894736842105263,0.05263157894736842,0.010964912280701754,0.041666666666666664
tau2,retail,o4-mini,GPT-4.1,all_pairs,0.05,cost_steps,all,114,10000,0.45997807017543857,0.3930921052631579,0.14692982456140352,0.0668859649122807,-0.04387335526315788,0.17653508771929824,-0.02631578947368421,-0.0965460526315789,0.046052631578947366,1.1701534170153416,0.3190789473684211,0.4862938596491228,0.047697368421052634,0.03,False,0.14638157894736842,0.17269736842105263,-0.02631578947368421,0.27850877192982454,0.20778508771929824,0.07072368421052631,0.03508771929824561,0.012609649122807017,0.022478070175438597
tau2,retail,Claude-3.7,GPT-4.1,primary,0.05,cost_steps,off_diagonal,114,10000,0.15862573099415206,0.7412280701754386,0.10014619883040937,-0.5826023391812865,-0.6805555555555555,-0.4788011695906432,0.046052631578947366,-0.017543859649122806,0.1118421052631579,0.21400394477317555,0.2711988304093567,0.6286549707602337,0.0,0.03,True,0.15862573099415206,0.11257309941520467,0.046052631578947366,0.0,0.6286549707602337,-0.6286549707602337,0.0,0.0,0.0
tau2,retail,Claude-3.7,GPT-4.1,cost_tol_0,0.0,cost_steps,off_diagonal,114,10000,0.15862573099415206,0.7412280701754386,0.10014619883040937,-0.5826023391812865,-0.6805555555555555,-0.4788011695906432,0.046052631578947366,-0.017543859649122806,0.1118421052631579,0.21400394477317555,0.2711988304093567,0.6286549707602337,0.0,0.03,True,0.15862573099415206,0.11257309941520467,0.046052631578947366,0.0,0.6286549707602337,-0.6286549707602337,0.0,0.0,0.0
