pair_index,block,n,z,decisive_tier,success_diff,n_win,n_loss,n_tie,n_succ_pos,n_succ_neg,nb_hat,succ_diff_hat,log_e_win,log_e_gate,log_e_harm,win_cross,gate_cross,deploy,harm
14,1,14,0,-1,0,4,1,9,4,1,0.21428571428571427,0.21428571428571427,0.21160483912145311,0.28633968489019823,-0.23697921874894146,False,False,False,False
15,1,15,0,-1,0,4,1,10,4,1,0.2,0.2,0.21160483912145311,0.29195922012640896,-0.23697921874894146,False,False,False,False
16,1,16,0,-1,0,4,1,11,4,1,0.1875,0.1875,0.21160483912145311,0.29763591140036505,-0.23697921874894146,False,False,False,False
17,1,17,0,-1,0,4,1,12,4,1,0.17647058823529413,0.17647058823529413,0.21160483912145311,0.3033703039600435,-0.23697921874894146,False,False,False,False
18,1,18,0,-1,0,4,1,13,4,1,0.16666666666666666,0.16666666666666666,0.21160483912145311,0.3091629441274293,-0.23697921874894146,False,False,False,False
19,1,19,-1,0,-1,4,2,13,4,2,0.10526315789473684,0.10526315789473684,0.0387584704326982,0.098749253130761,-0.2061311330707869,False,False,False,False
20,1,20,0,-1,0,4,2,14,4,2,0.1,0.1,0.0387584704326982,0.10221577270494642,-0.2061311330707869,False,False,False,False
21,1,21,0,-1,0,4,2,15,4,2,0.09523809523809523,0.09523809523809523,0.0387584704326982,0.10571365708916813,-0.2061311330707869,False,False,False,False
22,1,22,1,0,1,5,2,15,5,2,0.13636363636363635,0.13636363636363635,0.13028399924174616,0.22028841905030516,-0.2427529957365846,False,False,False,False
23,1,23,0,-1,0,5,2,16,5,2,0.13043478260869565,0.13043478260869565,0.13028399924174616,0.22480183403084686,-0.2427529957365846,False,False,False,False
24,1,24,-1,0,-1,5,3,16,5,3,0.08333333333333333,0.08333333333333333,0.0015930900949805427,0.0650881788146398,-0.21344635201951023,False,False,False,False
25,2,25,1,0,1,6,3,16,6,3,0.12,0.12,0.07876554987765338,0.16189782925600005,-0.24785872737057568,False,False,False,False
26,2,26,0,-1,0,6,3,17,6,3,0.11538461538461539,0.11538461538461539,0.07876554987765338,0.1656051294484744,-0.24785872737057568,False,False,False,False
27,2,27,-1,0,-1,6,4,17,6,4,0.07407407407407407,0.07407407407407407,-0.025420839454341593,0.036521331341615504,-0.21981788560081883,False,False,False,False
28,2,28,0,-1,0,6,4,18,6,4,0.07142857142857142,0.07142857142857142,-0.025420839454341593,0.03910140416318564,-0.21981788560081883,False,False,False,False
29,2,29,-1,0,-1,6,5,18,6,5,0.034482758620689655,0.034482758620689655,-0.09792681756016242,-0.048797054032823084,-0.18821327116330933,False,False,False,False
30,2,30,1,0,1,7,5,18,7,5,0.06666666666666667,0.06666666666666667,-0.04637331049592497,0.0150941655023904,-0.22548253394390239,False,False,False,False
31,2,31,1,0,1,8,5,18,8,5,0.0967741935483871,0.0967741935483871,0.014395330790515803,0.09168971024869821,-0.25664405819729375,False,False,False,False
32,2,32,0,-1,0,8,5,19,8,5,0.09375,0.09375,0.014395330790515803,0.09450481950248113,-0.25664405819729375,False,False,False,False
33,2,33,-1,0,-1,8,6,19,8,6,0.06060606060606061,0.06060606060606061,-0.06340083144118092,-0.0017791705898750898,-0.23059499652311866,False,False,False,False
34,2,34,0,-1,0,8,6,20,8,6,0.058823529411764705,0.058823529411764705,-0.06340083144118092,0.0003404865896117215,-0.23059499652311866,False,False,False,False
35,2,35,0,-1,0,8,6,21,8,6,0.05714285714285714,0.05714285714285714,-0.06340083144118092,0.002473462786400926,-0.23059499652311866,False,False,False,False
36,2,36,-1,0,-1,8,7,21,8,7,0.027777777777777776,0.027777777777777776,-0.12228767374745031,-0.06953290148077107,-0.2015556449059761,False,False,False,False
37,2,37,0,-1,0,8,7,22,8,7,0.02702702702702703,0.02702702702702703,-0.12228767374745031,-0.06785822093675797,-0.2015556449059761,False,False,False,False
38,2,38,0,-1,0,8,7,23,8,7,0.02631578947368421,0.02631578947368421,-0.12228767374745031,-0.06617418727718416,-0.2015556449059761,False,False,False,False
39,2,39,0,-1,0,8,7,24,8,7,0.02564102564102564,0.02564102564102564,-0.12228767374745031,-0.06448072611870348,-0.2015556449059761,False,False,False,False
40,2,40,-1,0,-1,8,8,24,8,8,0.0,0.0,-0.16894801846071505,-0.12116685540128769,-0.16894801846071505,False,False,False,False
41,2,41,0,-1,0,8,8,25,8,8,0.0,0.0,-0.16894801846071505,-0.11979226317037561,-0.16894801846071505,False,False,False,False
42,2,42,0,-1,0,8,8,26,8,8,0.0,0.0,-0.16894801846071505,-0.11841082151011806,-0.16894801846071505,False,False,False,False
43,2,43,0,-1,0,8,8,27,8,8,0.0,0.0,-0.16894801846071505,-0.11702247930858922,-0.16894801846071505,False,False,False,False
44,2,44,-1,0,-1,8,9,27,8,9,-0.022727272727272728,-0.022727272727272728,-0.207247269888303,-0.16321931322953542,-0.13206165352088917,False,False,False,False
45,2,45,1,0,1,9,9,27,9,9,0.0,0.0,-0.17594351996643942,-0.12421704447144188,-0.17594351996643942,False,False,False,False
46,2,46,1,0,1,10,9,27,10,9,0.021739130434782608,0.021739130434782608,-0.14072419823152194,-0.07958334178391802,-0.21244866593732947,False,False,False,False
47,2,47,0,-1,0,10,9,28,10,9,0.02127659574468085,0.02127659574468085,-0.14072419823152194,-0.07804668322172059,-0.21244866593732947,False,False,False,False
48,2,48,0,-1,0,10,9,29,10,9,0.020833333333333332,0.020833333333333332,-0.14072419823152194,-0.07650225184748383,-0.21244866593732947,False,False,False,False
