pair_index,n,z,decisive_tier,success_diff,n_win,n_loss,n_tie,n_succ_pos,n_succ_neg,nb_hat,succ_diff_hat,log_e_win,log_e_gate,log_e_harm,e_win,e_gate,e_harm,win_cross,gate_cross,deploy,harm
54,54,-1,1,0,11,38,5,9,10,-0.5,-0.018518518518518517,-0.5533329549263195,-0.15910390386543138,5.1094070583968705,0.5750300636595248,0.8529077339545562,165.57215114533508,False,False,False,True
55,55,-1,1,0,11,39,5,9,10,-0.509090909090909,-0.01818181818181818,-0.559762090229504,-0.15795055782650413,5.510151866480673,0.5713449762329014,0.8538919992011885,247.18866388970613,False,False,False,True
56,56,-1,1,0,11,40,5,9,10,-0.5178571428571429,-0.017857142857142856,-0.5660178589487943,-0.15679219820694668,5.918635690478061,0.5677819306171827,0.8548816863086537,371.9039754637907,False,False,False,True
57,57,-1,1,0,11,41,5,9,10,-0.5263157894736842,-0.017543859649122806,-0.5721103379041561,-0.15562879122690987,6.3343127939789525,0.564333247336251,0.8558768404019736,563.5819729530238,False,False,False,True
58,58,-1,0,-1,11,42,5,9,11,-0.5344827586206896,-0.034482758620689655,-0.5780487405947166,-0.1941650734289162,6.756713750440634,0.5609919400950093,0.8235219514554725,859.81199117981,False,False,False,True
59,59,-1,1,0,11,43,5,9,11,-0.5423728813559322,-0.03389830508474576,-0.5838415129399053,-0.19316870825891996,7.185433132109482,0.5577516357323273,0.82434288895348,1320.0608752220328,False,False,False,True
60,60,-1,1,0,11,44,5,9,11,-0.55,-0.03333333333333333,-0.5894964161697822,-0.19216842186234206,7.620119299658967,0.5546065052913258,0.825167880476526,2038.805344095456,False,False,False,True
61,61,-1,1,0,11,45,5,9,11,-0.5573770491803278,-0.03278688524590164,-0.5950205988684951,-0.19116418947630365,8.060466086394483,0.5515512044200855,0.8259969570090957,3166.7657768851486,False,False,False,True
62,62,-1,1,0,11,46,5,9,11,-0.5645161290322581,-0.03225806451612903,-0.6004206598215913,-0.19015598614974083,8.506206076055053,0.5485808216396871,0.8268301498321945,4945.365112709632,False,False,False,True
63,63,-1,1,0,11,47,5,9,11,-0.5714285714285714,-0.031746031746031744,-0.6057027030337228,-0.18914378674188503,8.957105156027795,0.5456908332753663,0.8276674905266381,7762.852656724799,False,False,False,True
64,64,-1,0,-1,11,48,5,9,12,-0.578125,-0.046875,-0.6108723860533178,-0.222570803717431,9.41295805187389,0.5428770640547561,0.8004583293184017,12246.041879383143,False,False,False,True
65,65,-1,1,0,11,49,5,9,12,-0.5846153846153846,-0.046153846153846156,-0.6159349625538417,-0.22169002878728028,9.873584591646868,0.5401356525454644,0.8011636635222399,19410.794185787923,False,False,False,True
66,66,-1,1,0,11,50,5,9,12,-0.5909090909090909,-0.045454545454545456,-0.6208953199684304,-0.22080608678094116,10.338826496311505,0.5374630207410096,0.8018721588266281,30909.73606636579,False,False,False,True
67,67,-1,1,0,11,51,5,9,12,-0.5970149253731343,-0.04477611940298507,-0.6257580128492344,-0.2199189589052728,10.808544538633896,0.5348558472158129,0.8025838375998107,49441.45585650972,False,False,False,True
68,68,0,-1,0,11,51,6,9,12,-0.5882352941176471,-0.04411764705882353,-0.6257580128492344,-0.21902862623011465,10.808544538633896,0.5348558472158129,0.8032987224104089,49441.45585650972,False,False,False,True
69,69,-1,0,-1,11,52,6,9,13,-0.5942028985507246,-0.057971014492753624,-0.6305272925192944,-0.24835916529913504,11.282615954015075,0.5323110433615968,0.7800797153926524,79428.77237021757,False,False,False,True
70,70,-1,1,0,11,53,6,9,13,-0.6,-0.05714285714285714,-0.6352071334990672,-0.24757369186668798,11.760932021846317,0.5298257322930605,0.7806926879896137,128146.8334595556,False,False,False,True
71,71,-1,1,0,11,54,6,9,13,-0.6056338028169014,-0.056338028169014086,-0.639801257118386,-0.24678563231096806,12.24339576513886,0.5273972300732374,0.781308162806017,207605.67479553138,False,False,False,True
72,72,0,-1,0,11,54,7,9,13,-0.5972222222222222,-0.05555555555555555,-0.639801257118386,-0.24599497221804612,12.24339576513886,0.5273972300732374,0.7819261562698121,207605.67479553138,False,False,False,True
73,73,-1,1,0,11,55,7,9,13,-0.6027397260273972,-0.0547945205479452,-0.6443131526651036,-0.2452016970734685,12.729919739948349,0.5250230289609045,0.7825466849469233,337702.2063953805,False,False,False,True
74,74,-1,0,-1,11,56,7,9,14,-0.6081081081081081,-0.06756756756756757,-0.6487460963717262,-0.27128338578040534,13.220423905102,0.5227007824257908,0.7624004123531016,551514.7734634787,False,False,False,True
